Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,bath twice daily,use antifungal cream,keep skin dry,use neem
Allergy,apply calamine lotion,avoid allergens,use ice to compress,avoid smoke
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
Drug Reaction,stop taking drug,consult nearest hospital,rest,follow up
Peptic ulcer disease,avoid fatty spicy food,consume probiotic food,quit smoking,consult doctor
AIDS,avoid open cuts,wear ppe,consult doctor,follow up
Diabetes,have balanced diet,exercise regularly,consult doctor,monitor sugar levels
Gastroenteritis,stop eating outside food,drink ORS,rest,consult doctor
Bronchial Asthma,use inhaler,avoid triggers,take deep breaths,consult doctor
Hypertension,meditation,reduce salt intake,reduce stress,get proper sleep
Migraine,meditation,reduce stress,use pc glasses,consult doctor
Cervical spondylosis,use heating pad,exercise,take pain reliever,consult doctor
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
Jaundice,drink plenty of water,eat fruits and fiber,avoid alcohol,consult doctor
Malaria,consult nearest hospital,avoid oily food,keep mosquitoes away,take prescribed medicine
Chicken pox,use neem in bathing,take vaccine,avoid public places,consult doctor
Dengue,drink papaya leaf juice,avoid oily food,keep mosquitoes away,keep hydrated
Typhoid,eat high calorie vegetables,antibiotic therapy,vaccination,consult doctor
Hepatitis A,wash hands frequently,avoid fatty food,vaccination,consult doctor
Hepatitis B,vaccination,eat healthy,consult doctor,medication
Hepatitis C,consult doctor,vaccination,eat healthy,medication
Hepatitis D,consult doctor,vaccination,eat healthy,medication
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
Tuberculosis,cover mouth,consult doctor,complete medication course,isolation
Common Cold,drink vitamin c rich drinks,take steam,avoid cold food,rest
Pneumonia,consult nearest hospital,drink plenty of fluids,rest,medication
Dimorphic hemorrhoids(piles),avoid spicy food,warm sitz bath,use witch hazel,consult doctor
Heart attack,call ambulance,chew aspirin,keep calm,rest
Varicose veins,elevate legs,use compression stockings,exercise,consult doctor
Hypothyroidism,exercise,eat healthy,reduce stress,consult doctor
Hyperthyroidism,eat healthy,avoid stress,consult doctor,take prescribed medicine
Hypoglycemia,eat sugary food,drink glucose water,rest,consult doctor
Osteoarthritis,exercise,hot and cold therapy,avoid overexertion,consult doctor
Arthritis,exercise,hot and cold therapy,try acupuncture,consult doctor
(Vertigo) Paroxysmal Positional Vertigo,lie down,avoid sudden movements,relax,consult doctor
Acne,wash face twice daily,avoid fatty food,drink plenty of water,consult dermatologist
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,consult doctor
Psoriasis,wash hands with warm water,consult doctor,use prescribed cream,salt baths
Impetigo,soak area in warm water,use antibiotics,keep area clean,consult doctor
